Key,Source,Context,Changes,English,Russian

resourceRepairKit,items,Item,New,Base Repair Kit,Базовый ремонтный набор
resourceRepairKitDesc,items,Item,New,"Base Repair Kits are used to repair various items.","Базовый Ремонтный набор используется для ремонта простых предментов."
resourceHeavyArmorRepairKit,items,item,New,Heavy Armor Repair Kit,Ремкоплект для тяжелой брони
resourceHeavyArmorRepairKitDesc,items,item,New,"Used to repair Steel armor.","Используется для ремонта Стальной брони."
resourceLightArmorRepairKit,items,item,New,Light Armor Repair Kit,Ремкоплект для легкой брони
resourceLightArmorRepairKitDesc,items,item,New,"Used to repair Military armor.","Используется для ремонта Армейской брони."
resourceSteelToolRepairKit,items,item,New,Steel Tool Repair Kit,Ремкоплект для стального инструмента
resourceSteelToolRepairKitDesc,items,item,New,"Used to repair steel tools.\nSteel Pickaxe, Steel Axe, Steel shovel.","Используется для ремонта стальной инструмента.\nСтальная кирка, Стальной топор, Стальная лопата."
resourceMotorToolRepairKit,items,item,New,Electric Tool Repair Kit,Ремкоплект для электроинструмента
resourceMotorToolRepairKitDesc,items,item,New,"Used to repair electric tools.\nAuger, Chainsaw, Impact Driver.","Используется для ремонта электроинструмента.\Бур, безопила, гайковерт."
resourcePistolRepairKit,items,item,New,Pistol Repair Kit,Ремкоплект для пистолета
resourcePistolRepairKitDesc,items,item,New,"Used to repair pistols.\nPistol, Magnum, Desert vulture, SMG - 5.","Используется для ремонта пистолетов.\Пистолет, Магнум, Пустный орел, Пистолет - пулемет."
resourceShotgunRepairKit,items,item,New,Shotgun Repair Kit,Ремкоплект для дробовика
resourceShotgunRepairKitDesc,items,item,New,"Used to repair shotguns.\nDouble barrel, Pump shotgun, Auto shotgun.","Используется для ремонта дробовиков.\Обрез, Помповое ружье, Автоматический дробовик."
resourceAutomaticWeaponRepairKit,items,item,New,Automatic Weapon Repair Kit,Ремкоплект для автоматического оружия
resourceAutomaticWeaponRepairKitDesc,items,item,New,"Used to repair automatic weapon.\nAK47, Tactical AR, M60.","Используется для ремонта автоматического оружия.\АК47, Тактическая винтовка, Пулемет М60."
resourceRifleRepairKit,items,item,New,Rifle Repair Kit,Ремкоплект для винтовки
resourceRifleRepairKitDesc,items,item,New,"Used to repair rifles.\nHunting rifle, Marksman rifle, Sniper rifle.","Используется для ремонта винтовок.\Охотничье ружье, Снайперская винтовка, Армейская снайперская винтовка."
resourceBowRepairKit,items,item,New,Bow & Crossbow Repair Kit,Ремкоплект для лука и арбалета
resourceBowRepairKitDesc,items,item,New,"Used to repair bows and crossbows.\nWooden bow, Compound bow, Iron crossbow, Compound crossbow.","Используется для луков и арбалетов.\Деревянный лук, Композитный лук, Железный арбалет, Композитный арбалет."
resourceJunkRepairKit,items,item,New,Turrets Repair Kit,Ремкоплект для туррели
resourceJunkRepairKitDesc,items,item,New,"Used to repair turrets.\nJunk Sledge, Junk Turret.","Используется для ремонта рототизированных турелей.\Роботизированный молот, роботизированная пушка."
resourceVehiclesRepairKit,items,item,New,Vehicle Repair Kit,Ремкоплект для транспорта
resourceVehiclesRepairKitDesc,items,item,New,"Used to repair of any vehicle.\nMinibike, Motorcyc, 4x4 Truck, Gyrocopter.","Используется для ремонта любого транспорта.\Минибайк, Мотоцикл, Джип 4х4, Автожир."

ArmorRepairKitSchematic,items,item,New,Book Battleship, Книга Броненосец
ArmorRepairKitSchematicLongDesc,items,item,New,"Learn to repair any armor.\n\nUnlocks:\nLight Armor Repair Kit,\nHeavy Armor Repair Kit","Научитесь ремонтировать любую броню.\n\nОткрывает:\nРемкоплект для легкой брони\nРемкоплект для тяжелой брони"

ToolsRepairKitSchematic,items,item,New,Book Mining master, Книга Мастер добычи
ToolsRepairKitSchematicLongDesc,items,item,New,"Learn to repair any tool.\n\nUnlocks:\nSteel Tool Repair Kit,\nElectric Tool Repair Kit","Научитесь ремонтировать любой инструмент.\n\nОткрывает:\nРемкоплект для стального инструмента\nРемкоплект для электроинструмента"

WeaponRepairKitSchematic,items,item,New,Book Firearm, Книга Огнестрел
WeaponRepairKitSchematicLongDesc,items,item,New,"Learn to repair any firearm.\n\nUnlocks:\nPistol Repair Kit,\nShotgun Repair Kit,\nAutomatic Weapon Repair Kit,\nRifle Repair Kit,\nBow & Crossbow Repair Kit","Научитесь ремонтировать любое огнестрельное оружие.\n\nОткрывает:\nРемкоплект для пистолета\nРемкоплект для дробовика\nРемкоплект для автоматического оружия\nРемкоплект для винтовки\nРемкоплект для лука и арбалета"

AdvancedRepairKitSchematic,items,item,New,Book Mechanics and Electrical, Книга Механика и электрика
AdvancedRepairKitSchematicLongDesc,items,item,New,"Learn to repair vehicles and turrets.\n\nUnlocks:\nTurrets Repair Kit,\nVehicle Repair Kit","Научитесь ремонтировать транспорт и туррели.\n\nОткрывает:\nРемкоплект для транспорта\nРемкоплект для туррели"

perkMiner69rRank1LongDesc,progression,perk,New,"Everyone has to start somewhere. Craft quality 2 poor tools, increase tool damage by 10% and block damage by 30% with any axe, pick, chainsaw or auger.\nUnlocks all iron tools like pickaxes and Steel Tool Repair Kit","Всем надо с чего-то начинать. Вы создаете плохие инструменты классом качества 2. Урон инструмента повышается на 10%, а урон любого топора, кирки, бензопилы или бура по блокам — на 30%.\nРазблокирует весь железный инструмент типа кирки и Ремкомплект для стального инструмента."

perkMiner69rRank3LongDesc,pro,progression,perk,"You are now a professional miner or what they called muckmen back in the day. Craft quality 4 good tools, increase tool damage by 30% and block damage by 90% with any axe, pick, chainsaw or auger.\nUnlocks Electric Tool Repair Kit","Вы стали профессиональным шахтером или, как говаривали раньше, углекопом. Вы создаете хорошие инструменты классом качества 4. Урон инструмента повышается на 30%, а урон любого топора, кирки, бензопилы или бура по блокам — на 90%.\nРазблокирует Ремкомплект для электроинструмента."

perkLightArmorRank1LongDesc,progression,perk,New,"You have started on the path of the lightly armored warrior. Craft quality 2 poor light armor, reduce light armor movement penalty by 15% and stamina penalty by 10%. Improve durability by 50%.\nUnlocks leather armor and Light Armor Repair Kit crafting.","Вы встали на путь легковооруженного воина. Вы создаете плохую легкую броню классом качества 2, что снижает штраф к передвижению в легкой броне на 15%, а к выносливости — на 10%. Улучшает прочность на 50%.\nРазблокирует изготовление кожаной брони и Ремкоплект для легкой брони"

perkHeavyArmorRank1LongDesc,progression,perk,New,"You might move a little awkward in heavy armor but you're alive to talk about it. Craft quality 2 poor heavy armor, reduce heavy armor movement and stamina penalty by 5%. Improve durability by 50%.\nUnlocks iron armor and Heavy Armor Repair Kit crafting.","Вы встали на путь легковооруженного воина. Вы создаете плохую легкую броню классом качества 2, что снижает штраф к передвижению в легкой броне на 15%, а к выносливости — на 10%. Улучшает прочность на 50%.\nРазблокирует изготовление кожаной брони и Ремкоплект для тяжелой брони"

perkGunslingerRank1LongDesc,progression,perk,New,"You're no Wyatt Earp but you're better than the average drifter. Craft quality 2 poor handguns, deal 10% more damage, 5% faster fire rate, and 10% faster reload with handguns.\nUnlocks pistol and Pistol Repair Kit crafting.","Вы не Уайетт Эрп, но лучше, чем просто бродяга. Создание плохих пистолетов классом качества 2, урон больше на 10%, скорость стрельбы быстрее на 5%, перезарядка быстрее на 10%.\nРазблокирует изготовление пистолетов и Ремкомплект для пистолета."

perkBoomstickRank1LongDesc,progression,perk,New,"Maybe your aim isn't so good or you just like doing a lot of damage up close and personal. Either way a hobo with a shotgun is not to be messed with. Craft quality 2 poor Shotguns, deal 10% more damage, 10% faster fire rate, and 10% faster reload. Stun enemies for 6 seconds.\nIncreases chance to dismember by 5%.\nUnlocks double barrel shotgun and Shotgun Repair Kit crafting.","Возможно, цель у вас не очень достойная или вам просто нравится стрелять направо и налево. В любом случае лучше не связываться с бродягой, у которого в руках дробовик. Создание плохих дробовиков классом качества 2, урон больше на 10%, скорость стрельбы и перезарядка быстрее на 10%. Оглушение врагов на 6 секунд.\nУвеличивает вероятность расчленения на 5%.\nРазблокирует изготовление двустволки и Ремкоплект для дробовика."

perkMachineGunnerRank1LongDesc,progression,perk,New,"Spray and Pray is your thing. Craft quality 2 poor machine guns. Deal 10% more damage, 5% faster fire rate and 10% faster reload.\nUnlocks Ak47 and Automatic Weapon Repair Kit Crafting.","«На кого бог пошлет» — вот ваш девиз. Вы создаете плохие пулеметы классом качества 2. Урон больше на 10%, скорость стрельбы выше на 5%, а перезарядка быстрее на 10%.\nРазблокирует создание AК-47 и Ремкоплект для автоматического оружия."

perkDeadEyeRank1LongDesc,progression,perk,New,"Pot Shot. You can hit the broad side of a barn and do 10% more damage with rifles. Craft quality 2 poor rifles, aim and reload 10% faster. Unlocks hunting rifle and Rifle Repair Kit crafting.","Мазила. Вы не отличаетесь меткостью и наносите 10% больше урона из винтовки. Вы создаете плохие ружья классом качества 2, прицеливаетесь и перезаряжаете на 10% быстрее. Разблокирует изготовление охотничьего ружья и Ремкоплект для винтовки."

perkArcheryRank1LongDesc,progression,perk,New,"Many start on the path of the ranger but few can reach it. Craft quality 2 poor bows, deal 10% more damage, 10% faster aim, draw and reload with bows. Unlocks wooden bow and iron crossbow and Bow & Crossbow Repair Kit crafting.","Многие становятся егерями, но мало кто с этим справляется. Вы создаете плохие луки классом качества 2, наносите на 10% больше урона, на 10% быстрее прицеливаетесь, натягиваете тетиву и перезаряжаете лук. Разблокирует изготовление деревянного лука, железного арбалета и Ремкоплект для лука и арбалета."

perkTurretsRank1LongDesc,progression,perk,New,"You have some crazy innovative ideas but your implementation could use some work. Craft poor quality 2 robots, deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds. Robot active range is increased from 10 to 14 meters.\nYou can deploy multiple robots but only the closest will be active.\nUnlocks Robotic Sledge and Turrets Repair Kit crafting.","У вас в голове есть парочка чокнутых идей, но их реализация немного подкачала. Создание роботов класса качества 2, урон больше на 10%, скорость стрельбы выше на 30%, и на 10 патронов больше при перезарядке. Дальность действия роботов увеличена с 10 до 14 метров.\nМожно развернуть несколько роботов, но действовать будет только ближайший.\nРазблокирует изготовление роботизированного молота и Ремкоплект для туррели."

gunExplosivesT3RocketLauncherDesc,items,item,New,A Rocket Launcher shoots rocket propelled grenades.\n\nRepair with a Rocket Launcher parts.\nScrap to Rocket Launcher parts.,"Гранатомет стреляет реактивными гранатами.\n\nРемонтируется с помощью частей гранатомета.\nРазбирается на части гранатомета."

gunMGT3M60Desc,items,item,New,"Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 7.62mm ammo.\n\nRepair with a Automatic Weapon Repair Kit.\nScrap to Machine Gun Parts.","Пулеметы несколько громоздки, но идеальны для автоматической стрельбы. Этот использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью Ремкоплекта для автоматического оружия.\nРазбирается на части автоматического оружия."
gunMGT2TacticalARDesc,items,item,New,"This Tactical Assault Rifle uses 7.62mm ammo.\n\nRepair with a Automatic Weapon Repair Kit.\nScrap to Machine Gun Parts.","Тактическая штурмовая винтовка использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью Ремкоплекта для автоматического оружия.\nРазбирается на части автоматического оружия."
gunMGT1AK47Desc,items,item,New,"This badass AK-47 Machine Gun uses 7.62mm ammo.\n\nRepair with a Automatic Weapon Repair Kit.\nScrap to Machine Gun Parts.","Этот чумовой автомат использует патроны калибра 7,62 мм.\n\nРемонтируется с помощью Ремкоплекта для автоматического оружия.\nРазбирается на части автоматического оружия."

gunHandgunT1PistolDesc,items,item,New,"A basic pistol that uses 9mm ammo.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts.","Стандартный пистолет, использующий патроны калибра 9 мм.\n\nРемонтируется с помощью Ремкоплекта для пистолетов.\nРазбирается на части пистолета."
gunHandgunT2Magnum44Desc,items,item,New,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts.","Револьвер .44 Magnum – король в своем классе. Он самый убойный, но и самый шумный. Заполучи этого красавца, пусть Клинт гордится тобой.\n\nРемонтируется с помощью Ремкоплекта для пистолетов.\nРазбирается на части пистолета."
gunHandgunT3DesertVultureDesc,items,item,"New,This heavy pistol uses .44 Magnum ammo.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts.","Этот тяжелый пистолет использует патроны «.44 Magnum».\n\nРемонтируется с помощью Ремкоплекта для пистолетов.\nРазбирается на части пистолета."
gunHandgunT3SMG5Desc,items,item,New,"This submachine gun uses 9mm ammo.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts.","Этот пистолет-пулемет использует патроны калибра 9 мм.\n\nРемонтируется с помощью Ремкоплекта для пистолетов.\nРазбирается на части пистолета."

gunRifleT3SniperRifleDesc,items,item,New,"This high precision, long ranged rifle is perfect for sniping enemies at great distances.\n\nRepair with a Rifle Repair Kit.\nScrap to Rifle parts.","Высокоточная винтовка с большой дальностью стрельбы идеальна для уничтожения противника с дистанции.\n\nРемонтируется с помощью Ремкоплекта для винтовки.\nРазбирается на части винтовки."
